id;TerritoryType;capital
RUS;COUNTRY;RUS_CFO_MOG
RUS_CFO;FEDERALDISTRICT;RUS_CFO_MOG
RUS_CFO_BEL;OBLAST;0
RUS_CFO_BRJ;OBLAST;0
RUS_CFO_VLA;OBLAST;0
RUS_CFO_VOR;OBLAST;0
RUS_CFO_IVA;OBLAST;0
RUS_CFO_KAL;OBLAST;0
RUS_CFO_KOS;OBLAST;0
RUS_CFO_KUR;OBLAST;0
RUS_CFO_LIP;OBLAST;0
RUS_CFO_MOO;OBLAST;0
RUS_CFO_ORL;OBLAST;0
RUS_CFO_RIA;OBLAST;0
RUS_CFO_SMO;OBLAST;0
RUS_CFO_TAM;OBLAST;0
RUS_CFO_TVE;OBLAST;0
RUS_CFO_TUL;OBLAST;0
RUS_CFO_JAR;OBLAST;0
RUS_CFO_MOG;FEDERALCITY;0
RUS_SZO;FEDERALDISTRICT;RUS_SZO_SPB
RUS_SZO_KAR;REPUBLIC;0
RUS_SZO_KOM;REPUBLIC;0
RUS_SZO_NAO;AUTONOMOUSOKRUG;0
RUS_SZO_ARH;OBLAST;0
RUS_SZO_VOL;OBLAST;0
RUS_SZO_KAL;OBLAST;0
RUS_SZO_LEN;OBLAST;0
RUS_SZO_MUR;OBLAST;0
RUS_SZO_NOV;OBLAST;0
RUS_SZO_PSK;OBLAST;0
RUS_SZO_SPB;FEDERALCITY;0
RUS_YFO;FEDERALDISTRICT;0
RUS_YFO_ADY;REPUBLIC;0
RUS_YFO_KAL;REPUBLIC;0
RUS_YFO_KRY;REPUBLIC;0
RUS_YFO_KRA;KRAY;0
RUS_YFO_AST;OBLAST;0
RUS_YFO_VOL;OBLAST;0
RUS_YFO_ROS;OBLAST;0
RUS_YFO_SEV;FEDERALCITY;0
RUS_SKO;FEDERALDISTRICT;0
RUS_SKO_DAG;REPUBLIC;0
RUS_SKO_ING;REPUBLIC;0
RUS_SKO_KBR;REPUBLIC;0
RUS_SKO_KCR;REPUBLIC;0
RUS_SKO_OSE;REPUBLIC;0
RUS_SKO_CHE;REPUBLIC;0
RUS_SKO_STA;KRAY;0
RUS_PFO;FEDERALDISTRICT;0
RUS_PFO_BAS;REPUBLIC;0
RUS_PFO_MAR;REPUBLIC;0
RUS_PFO_MOR;REPUBLIC;0
RUS_PFO_TAT;REPUBLIC;0
RUS_PFO_UDM;REPUBLIC;0
RUS_PFO_CHU;REPUBLIC;0
RUS_PFO_PER;KRAY;0
RUS_PFO_KIR;OBLAST;0
RUS_PFO_NIZ;OBLAST;0
RUS_PFO_ORE;OBLAST;0
RUS_PFO_PEN;OBLAST;0
RUS_PFO_SAM;OBLAST;0
RUS_PFO_SAR;OBLAST;0
RUS_PFO_ULJ;OBLAST;0
RUS_UFO;FEDERALDISTRICT;0
RUS_UFO_KUR;OBLAST;0
RUS_UFO_SVE;OBLAST;0
RUS_UFO_HMA;AUTONOMOUSOKRUG;0
RUS_UFO_JNA;AUTONOMOUSOKRUG;0
RUS_UFO_TIU;OBLAST;0
RUS_UFO_CHE;OBLAST;0
RUS_SFO;FEDERALDISTRICT;0
RUS_SFO_ALR;REPUBLIC;0
RUS_SFO_TYV;REPUBLIC;0
RUS_SFO_HAK;REPUBLIC;0
RUS_SFO_ALK;KRAY;0
RUS_SFO_KRA;KRAY;0
RUS_SFO_IRK;OBLAST;0
RUS_SFO_KEM;OBLAST;0
RUS_SFO_NOV;OBLAST;0
RUS_SFO_OMS;OBLAST;0
RUS_SFO_TOM;OBLAST;0
RUS_DFO;FEDERALDISTRICT;0
RUS_DFO_BUR;REPUBLIC;0
RUS_DFO_JAK;REPUBLIC;0
RUS_DFO_ZAB;KRAY;0
RUS_DFO_KAM;KRAY;0
RUS_DFO_PRI;KRAY;0
RUS_DFO_HAB;KRAY;0
RUS_DFO_AMU;OBLAST;0
RUS_DFO_MAG;OBLAST;0
RUS_DFO_SAH;OBLAST;0
RUS_DFO_EAO;AUTONOMOUSOBLAST;0
RUS_DFO_CHU;AUTONOMOUSOKRUG;0
