id;population;area
RUS;146980061;1
RUS_CFO;40298032;2
RUS_CFO_BEL;1536466;3
RUS_CFO_BRJ;1164635;4
RUS_CFO_VLA;1342235;5
RUS_CFO_VOR;2302617;6
RUS_CFO_IVA;924114;7
RUS_CFO_KAL;1073252;8
RUS_CFO_KOS;577996;9
RUS_CFO_KUR;1078156;
RUS_CFO_LIP;1138140;
RUS_CFO_MOO;8542257;
RUS_CFO_ORL;710023;
RUS_CFO_RIA;1098579;
RUS_CFO_SMO;886900;
RUS_CFO_TAM;979171;
RUS_CFO_TVE;1226038;
RUS_CFO_TUL;1496690;
RUS_CFO_JAR;1205637;
RUS_CFO_MOG;13015126;
RUS_SZO;13909835;
RUS_SZO_KAR;532384;
RUS_SZO_KOM;734363;
RUS_SZO_NAO;41426;
RUS_SZO_ARH;974604;
RUS_SZO_VOL;1138424;
RUS_SZO_KAL;1030979;
RUS_SZO_LEN;2006022;
RUS_SZO_MUR;665240;
RUS_SZO_NOV;581578;
RUS_SZO_PSK;596899;
RUS_SZO_SPB;5607916;
RUS_YFO;16718204;
RUS_YFO_ADY;498285;
RUS_YFO_KAL;266432;
RUS_YFO_KRY;1931091;
RUS_YFO_KRA;5832042;
RUS_YFO_AST;957772;
RUS_YFO_VOL;2492808;
RUS_YFO_ROS;4192322;
RUS_YFO_SEV;547452;
RUS_SKO;10174103;
RUS_SKO_DAG;3186902;
RUS_SKO_ING;511316;
RUS_SKO_KBR;904338;
RUS_SKO_KCR;469096;
RUS_SKO_OSE;685393;
RUS_SKO_CHE;1514603;
RUS_SKO_STA;2902455;
RUS_PFO;28869534;
RUS_PFO_BAS;4091621;
RUS_PFO_MAR;676351;
RUS_PFO_MOR;781440;
RUS_PFO_TAT;4000084;
RUS_PFO_UDM;1448946;
RUS_PFO_CHU;1183908;
RUS_PFO_PER;2525149;
RUS_PFO_KIR;1149176;
RUS_PFO_NIZ;3108918;
RUS_PFO_ORE;1855781;
RUS_PFO_PEN;1261103;
RUS_PFO_SAM;3164384;
RUS_PFO_SAR;2431012;
RUS_PFO_ULJ;1191661;
RUS_UFO;12285258;
RUS_UFO_KUR;772332;
RUS_UFO_SVE;4263691;
RUS_UFO_HMA;1713763;
RUS_UFO_JNA;511244;
RUS_UFO_TIU;1602672;
RUS_UFO_CHE;3421556;
RUS_SFO;16758520;
RUS_SFO_ALR;210808;
RUS_SFO_TYV;336251;
RUS_SFO_HAK;532988;
RUS_SFO_ALK;2154932;
RUS_SFO_KRA;2856326;
RUS_SFO_IRK;2363447;
RUS_SFO_KEM;2592013;
RUS_SFO_NOV;2797492;
RUS_SFO_OMS;1851537;
RUS_SFO_TOM;1062726;
RUS_DFO;7966575;
RUS_DFO_BUR;977951;
RUS_DFO_JAK;997833;
RUS_DFO_ZAB;1000520;
RUS_DFO_KAM;292574;
RUS_DFO_PRI;1841961;
RUS_DFO_HAB;1292764;
RUS_DFO_AMU;763570;
RUS_DFO_MAG;135907;
RUS_DFO_SAH;466009;
RUS_DFO_EAO;149580;
RUS_DFO_CHU;47906;
